Field Name,Field Type,Default Value
"accident_date","Text",""
"accident_ref_number","Text",""
"accident_time","Text",""
"additional_hazards","Text",""
"additional_witnesses","Text",""
"ai_summary","Text",""
"airbags_deployed","Checkbox","No"
"airbags_deployed_no","Checkbox","No"
"analysis_metadata","Text",""
"car_registration_number","Text",""
"closing_statement","Text",""
"country","Text",""
"cover_type","Text",""
"damage_to_your_vehicle","Text",""
"date_of_birth","Text",""
"Date69_af_date","Text",""
"describe-damage-to-vehicle","Text",""
"driving_license_number","Text",""
"driving_license_picture","Text",""
"driving_your_usual_vehicle_no","Checkbox","No"
"dvla_colour","Text",""
"dvla_fuel_type","Text",""
"dvla_make","Text",""
"dvla_model","Text",""
"dvla_mot_expiry","Text",""
"dvla_mot_status","Text",""
"dvla_tax_due_date","Text",""
"dvla_tax_status","Text",""
"dvla_year","Text",""
"email","Text",""
"emergency_audio_transcription","Text",""
"emergency_contact_name","Text",""
"emergency_contact_number","Text",""
"emergency_recording_timestamp","Text",""
"final_feeling","Checkbox","No"
"final_review","Text",""
"further_medical_attention_needed","Text",""
"id","Text",""
"impact_point_driver_side","Checkbox","No"
"impact_point_front","Checkbox","No"
"impact_point_front_driver","Checkbox","No"
"impact_point_front_passenger","Checkbox","No"
"impact_point_passenger_side","Checkbox","No"
"impact_point_rear","Checkbox","No"
"impact_point_rear_driver","Checkbox","No"
"impact_point_rear_passenger","Checkbox","No"
"impact_point_roof","Checkbox","No"
"impact_point_under_carriage","Checkbox","No"
"insurance_company","Text",""
"junction_control","Text",""
"junction_type","Text",""
"location","Text",""
"location_map_screenshot","Text",""
"medical_ambulance_called","Checkbox","No"
"medical_attention_from_who","Text",""
"medical_attention_needed","Checkbox","No"
"medical_hospital_name","Text",""
"medical_how_are_you_feeling","Text",""
"medical_injury_details","Text",""
"medical_injury_severity","Text",""
"medical_symptom_abdominal_bruising","Checkbox","No"
"medical_symptom_abdominal_pain","Checkbox","No"
"medical_symptom_breathlessness","Checkbox","No"
"medical_symptom_change_in_vision","Checkbox","No"
"medical_symptom_chest_pain","Checkbox","No"
"medical_symptom_dizziness","Checkbox","No"
"medical_symptom_life _threatening","Checkbox","No"
"medical_symptom_limb_pain_mobilty","Checkbox","No"
"medical_symptom_limb_weakness","Checkbox","No"
"medical_symptom_loss_of_consciousness","Checkbox","No"
"medical_symptom_none","Checkbox","No"
"medical_symptom_severe_headache","Checkbox","No"
"medical_symptom_uncontrolled_bleeding","Checkbox","No"
"medical_treatment_recieved","Text",""
"mobile","Text",""
"name","Text",""
"nearest_landmark","Text",""
"no_damage","Checkbox","No"
"no_it_needed_to_be_towed","Checkbox","No"
"no-visible-damage","Checkbox","No"
"officer_badge","Text",""
"officer_name","Text",""
"open","Text",""
"other_breath_test","Text",""
"other_driver_vehicle_marked_for_export","Text",""
"other_vehicle_photo_1_url","Text",""
"other_vehicle_photo_2_url","Text",""
"other_vehicle_photo_3_url","Text",""
"other-contact-number","Text",""
"other-drivers-insurance-company","Text",""
