Page,PDF_Field_Name,Field_Type,Database_Column,Database_Table,Required,Notes
1,accident_date,Date,when_did_the_accident_happen,incident_reports,Yes,Format: DD/MM/YYYY
1,accident_time,Time,what_time_did_the_accident_happen,incident_reports,Yes,Format: HH:MM (24-hour)
1,accident_location,Text,where_exactly_did_this_happen,incident_reports,Yes,Full address or description
1,your_speed,Text,direction_and_speed,incident_reports,No,Extract speed from direction_and_speed field
1,your_license_plate,Text,license_plate_number,incident_reports,Yes,UK registration number
1,your_vehicle_make,Text,make_of_car,incident_reports,Yes,E.g. Ford
1,your_vehicle_model,Text,model_of_car,incident_reports,Yes,E.g. Focus
1,road_type,Dropdown,road_type,incident_reports,No,"Options: Motorway, A Road, B Road, Urban, Rural"
1,speed_limit,Dropdown,speed_limit,incident_reports,No,"Options: 20, 30, 40, 50, 60, 70 mph"
2,medical_feeling,Text,medical_how_are_you_feeling,incident_reports,No,How user feels after accident
2,medical_attention_received,Text,medical_attention,incident_reports,No,"Yes/No, who provided care"
2,medical_provider,Text,medical_attention_from_who,incident_reports,No,E.g. Paramedic/GP/A&E
2,further_medical_needed,Text,further_medical_attention,incident_reports,No,Do they need more care
2,are_you_safe,Text,are_you_safe,incident_reports,No,Current safety status
2,safety_check_completed,Text,six_point_safety_check,incident_reports,No,Safety checklist result
2,medical_chest_pain,Checkbox,medical_chest_pain,incident_reports,No,Symptom: Chest pain
2,medical_breathlessness,Checkbox,medical_breathlessness,incident_reports,No,Symptom: Breathing difficulty
2,medical_abdominal_bruising,Checkbox,medical_abdominal_bruising,incident_reports,No,Symptom: Abdominal bruising
2,medical_uncontrolled_bleeding,Checkbox,medical_uncontrolled_bleeding,incident_reports,No,Symptom: Uncontrolled bleeding
2,medical_severe_headache,Checkbox,medical_severe_headache,incident_reports,No,Symptom: Severe headache
2,medical_vision_changes,Checkbox,medical_change_in_vision,incident_reports,No,Symptom: Vision changes
2,medical_abdominal_pain,Checkbox,medical_abdominal_pain,incident_reports,No,Symptom: Abdominal pain
2,medical_limb_pain,Checkbox,medical_limb_pain,incident_reports,No,Symptom: Limb pain
2,medical_limb_weakness,Checkbox,medical_limb_weakness,incident_reports,No,Symptom: Limb weakness
2,medical_loss_consciousness,Checkbox,medical_loss_of_consciousness,incident_reports,No,Symptom: Loss of consciousness
2,medical_none,Checkbox,medical_none_of_these,incident_reports,No,No symptoms (exclusive with others)
3,damage_description,Textarea,damage_to_your_vehicle,incident_reports,No,Description of damage to your vehicle
3,damage_location,Textarea,impact,incident_reports,No,Where on vehicle was impact
3,airbags_deployed,Radio,airbags_deployed,incident_reports,No,"Options: Yes, No, Unknown"
3,seatbelts_worn,Radio,wearing_seatbelts,incident_reports,No,"Options: Yes, No"
3,seatbelt_reason,Text,reason_no_seatbelts,incident_reports,No,Why seatbelts not worn (if applicable)
3,prior_damage,Textarea,any_damage_prior,incident_reports,No,Pre-existing damage before accident
4,weather_clear_dry,Checkbox,weather_clear_and_dry,incident_reports,No,Weather: Clear and dry
4,weather_overcast,Checkbox,weather_overcast,incident_reports,No,Weather: Overcast
4,weather_light_rain,Checkbox,weather_light_rain,incident_reports,No,Weather: Light rain
4,weather_heavy_rain,Checkbox,weather_heavy_rain,incident_reports,No,Weather: Heavy rain
4,weather_fog,Checkbox,weather_fog,incident_reports,No,Weather: Fog
4,weather_snow,Checkbox,weather_snow,incident_reports,No,Weather: Snowing
4,weather_snow_on_road,Checkbox,weather_snow_on_road,incident_reports,No,Weather: Snow on road
4,weather_wet_road,Checkbox,weather_wet_road,incident_reports,No,Weather: Wet road surface
4,weather_bright_daylight,Checkbox,weather_bright_daylight,incident_reports,No,Weather: Bright daylight
4,weather_dusk,Checkbox,weather_dusk,incident_reports,No,Weather: Dusk/twilight
4,weather_street_lights,Checkbox,weather_street_lights,incident_reports,No,Weather: Street lights on
5,junction_roundabout,Checkbox,junction_information_roundabout,incident_reports,No,Junction type: Roundabout
5,junction_t_junction,Checkbox,junction_information_t_junction,incident_reports,No,Junction type: T-junction
5,junction_traffic_lights,Checkbox,junction_information_traffic_lights,incident_reports,No,Junction type: Traffic lights
5,junction_crossroads,Checkbox,junction_information_crossroads,incident_reports,No,Junction type: Crossroads
5,junction_other,Text,junction_information,incident_reports,No,Other junction type (text description)
6,special_animals,Checkbox,special_conditions_animals,incident_reports,No,Special condition: Animals on road
6,special_roadworks,Checkbox,special_conditions_roadworks,incident_reports,No,Special condition: Roadworks
6,special_defective_road,Checkbox,special_conditions_defective_road,incident_reports,No,Special condition: Defective road
6,special_oil_spills,Checkbox,special_conditions_oil_spills,incident_reports,No,Special condition: Oil spills
6,special_workman,Checkbox,special_conditions_workman,incident_reports,No,Special condition: Workman present
6,special_other,Text,special_conditions,incident_reports,No,Other special conditions (text)
8,detailed_account,Textarea,detailed_account_of_what_happened,incident_reports,Yes,Full narrative of what happened (large field)
9,other_driver_name,Text,driver_name,incident_other_vehicles,No,Other driver's name
9,other_driver_phone,Text,driver_phone,incident_other_vehicles,No,Other driver's phone number
9,other_driver_address,Textarea,driver_address,incident_other_vehicles,No,Other driver's address
9,other_license_plate,Text,vehicle_license_plate,incident_other_vehicles,No,Other vehicle license plate
