Field_Number,Field_Name,HTML_Type,Input_Name,Supabase_Table,Supabase_Column,Data_Type,Required,Default_Value,Category,Generated_By_JS,Mapped_To_DB,Notes
1,other_full_name,Text Input,other_full_name,incident_reports,other_drivers_name,TEXT,Conditional (OR with reg),NULL,Other Driver Info,No,⚠️ PARTIAL,"Required if vehicle_registration empty. Maps to other_drivers_name in Typeform but uses different field name"
2,other_contact_number,Tel Input,other_contact_number,incident_reports,other_drivers_number,TEXT,No,NULL,Other Driver Info,No,⚠️ PARTIAL,"Optional field. Maps to other_drivers_number in Typeform but uses different field name"
3,other_email_address,Email Input,other_email_address,incident_reports,N/A,TEXT,No,NULL,Other Driver Info,No,❌ NO,"New field not in incident_reports table. Typeform doesn't collect email"
4,other_driving_license_number,Text Input,other_driving_license_number,incident_reports,N/A,TEXT,No,NULL,Other Driver Info,No,❌ NO,"New field not in incident_reports table. Typeform doesn't collect license number"
5,other_vehicle_registration,Text Input,other_vehicle_registration,incident_reports,vehicle_license_plate,TEXT,Conditional (OR with name),NULL,Vehicle Info,No,⚠️ PARTIAL,"Required if driver name empty. Maps to vehicle_license_plate in Typeform but uses different field name. Uppercase formatted"
6,other_vehicle_look_up_make,Display Only (DVLA),other-vehicle-look-up-make,incident_reports,other_make_of_vehicle,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),⚠️ PARTIAL,"Populated from DVLA API /api/dvla/lookup. Displayed as text content not form value"
7,other_vehicle_look_up_model,Display Only (DVLA),other-vehicle-look-up-model,incident_reports,other_model_of_vehicle,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),⚠️ PARTIAL,"Populated from DVLA API. Displayed as text content not form value"
8,other_vehicle_look_up_colour,Display Only (DVLA),other-vehicle-look-up-colour,incident_reports,N/A,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA data not stored in incident_reports. Typeform doesn't have this field"
9,other_vehicle_look_up_year,Display Only (DVLA),other-vehicle-look-up-year,incident_reports,N/A,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA data not stored in incident_reports. Typeform doesn't have this field"
10,other_vehicle_look_up_fuel_type,Display Only (DVLA),other-vehicle-look-up-fuel-type,incident_reports,N/A,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA data not stored in incident_reports. Typeform doesn't have this field"
11,other_vehicle_look_up_mot_status,Display Only (DVLA),other-vehicle-look-up-mot-status,incident_reports,N/A,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA MOT data not stored. Used for validation warnings only"
12,other_vehicle_look_up_mot_expiry_date,Display Only (DVLA),other-vehicle-look-up-mot-expiry-date,incident_reports,N/A,DATE,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA MOT expiry not stored. Used for validation warnings only"
13,other_vehicle_look_up_tax_status,Display Only (DVLA),other-vehicle-look-up-tax-status,incident_reports,N/A,TEXT,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA Tax status not stored. Used for validation warnings only"
14,other_vehicle_look_up_tax_due_date,Display Only (DVLA),other-vehicle-look-up-tax-due-date,incident_reports,N/A,DATE,No,NULL (or '-'),DVLA Lookup,Yes (API),❌ NO,"DVLA Tax due date not stored. Used for validation warnings only"
15,other_vehicle_look_up_insurance_status,Display Only,other-vehicle-look-up-insurance-status,incident_reports,N/A,TEXT,No,'Not Available',Insurance Info,Yes (Static),❌ NO,"Always shows 'Not Available' - insurance cannot be verified via DVLA API"
16,other_drivers_insurance_company,Text Input,other_drivers_insurance_company,incident_reports,other_insurance_company,TEXT,No,NULL,Insurance Info,No,⚠️ PARTIAL,"Optional field. Maps to other_insurance_company in Typeform"
17,other_drivers_policy_number,Text Input,other_drivers_policy_number,incident_reports,other_policy_number,TEXT,No,NULL,Insurance Info,No,⚠️ PARTIAL,"Optional field. Maps to other_policy_number in Typeform"
18,other_drivers_policy_holder_name,Text Input,other_drivers_policy_holder_name,incident_reports,other_policy_holder,TEXT,No,NULL,Insurance Info,No,⚠️ PARTIAL,"Optional field. Maps to other_policy_holder in Typeform but uses different field name"
19,other_drivers_policy_cover_type,Select Dropdown,other_drivers_policy_cover_type,incident_reports,other_policy_cover,TEXT,No,NULL,Insurance Info,No,⚠️ PARTIAL,"Optional field. Maps to other_policy_cover in Typeform but uses different field name. Options: comprehensive, third_party_fire_theft, third_party"
20,describe_damage_to_vehicle,Textarea,describe_damage_to_vehicle,incident_reports,other_damage_accident,TEXT,Conditional,NULL,Damage Info,No,⚠️ PARTIAL,"Required if no_visible_damage unchecked. Minimum 5 chars. Maps to other_damage_accident in Typeform but uses different field name. Max 1000 chars with counter"
21,no_visible_damage,Checkbox,no_visible_damage,incident_reports,N/A,BOOLEAN,No,false,Damage Info,No,❌ NO,"New field. When checked, disables describe_damage_to_vehicle and makes it optional"
22,vehicle_number,N/A (Generated),N/A,incident_other_vehicles,N/A,INTEGER,Yes (Multi-vehicle),NULL,System,Yes,❌ NO,"Position in sequence for multiple vehicles. Vehicle 1 = user, 2 = first other, 3+ = additional"
23,saved_at,N/A (Generated),N/A,incident_reports,created_at,TIMESTAMP,Yes,NOW(),System,Yes,✅ YES,"ISO timestamp when vehicle data saved to sessionStorage"
24,warnings,N/A (Generated Array),N/A,N/A (Display Only),N/A,JSON ARRAY,No,[] (Empty Array),System,Yes,❌ NO,"Array of validation warnings (expired MOT, Tax, Insurance). Not stored in DB, used for UI only"
