Field_Number,Field_Name,HTML_Type,Input_Name,Supabase_Column,Data_Type,Required,Default_Value,Category,Generated_By_JS,Mapped_To_DB,Notes
1,usual_vehicle,Radio Button,usual_vehicle,usual_vehicle,TEXT,Yes,NULL,Vehicle Info,No,✅ YES,"Yes/No - Were you driving your usual vehicle"
2,vehicle_license_plate,Text Input,vehicle_license_plate,dvla_lookup_reg,TEXT,Yes,NULL,Vehicle Registration,No,✅ YES,"UK registration number - used for DVLA lookup"
3,dvla_make,DVLA API Response,N/A,dvla_vehicle_lookup_make,TEXT,No,NULL,DVLA Data,Yes,✅ YES,"Vehicle make from DVLA or manual entry"
4,dvla_model,DVLA API Response,N/A,dvla_vehicle_lookup_model,TEXT,No,NULL,DVLA Data,Yes,✅ YES,"Vehicle model from DVLA or manual entry"
5,dvla_colour,DVLA API Response,N/A,dvla_vehicle_lookup_color,TEXT,No,NULL,DVLA Data,Yes,✅ YES,"Vehicle colour from DVLA or manual entry"
6,dvla_year,DVLA API Response,N/A,dvla_vehicle_lookup_year,INTEGER,No,NULL,DVLA Data,Yes,✅ YES,"Year of manufacture from DVLA or manual entry"
7,dvla_fuel_type,DVLA API Response,N/A,dvla_vehicle_lookup_fuel_type,TEXT,No,NULL,DVLA Data,Yes,✅ YES,"Fuel type from DVLA or manual entry"
8,dvla_mot_status,DVLA API Response,N/A,dvla_vehicle_lookup_mot_status,TEXT,No,NULL,DVLA Status,Yes,✅ YES,"MOT status from DVLA (Valid/Invalid/Unknown)"
9,dvla_mot_expiry,DVLA API Response,N/A,dvla_vehicle_lookup_mot_expiry,DATE,No,NULL,DVLA Status,Yes,✅ YES,"MOT expiry date from DVLA"
10,dvla_tax_status,DVLA API Response,N/A,dvla_vehicle_lookup_tax_status,TEXT,No,NULL,DVLA Status,Yes,✅ YES,"Tax status from DVLA (Taxed/Untaxed)"
11,dvla_tax_due_date,DVLA API Response,N/A,dvla_vehicle_lookup_tax_due_date,DATE,No,NULL,DVLA Status,Yes,✅ YES,"Tax due date from DVLA"
12,dvla_insurance_status,DVLA API Response,N/A,dvla_vehicle_lookup_insurance_status,TEXT,No,NULL,DVLA Status,Yes,✅ YES,"Insurance status (not available from DVLA API yet)"
13,no_damage,Checkbox,no_damage,no_damage,BOOLEAN,No,FALSE,Damage,No,✅ YES,"Checkbox: My vehicle has no visible damage"
14,impact_point_front,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Front - Stored in array"
15,impact_point_front_driver,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Front Driver Side - Stored in array"
16,impact_point_front_passenger,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Front Passenger Side - Stored in array"
17,impact_point_driver_side,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Driver Side - Stored in array"
18,impact_point_passenger_side,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Passenger Side - Stored in array"
19,impact_point_rear_driver,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Rear Driver Side - Stored in array"
20,impact_point_rear_passenger,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Rear Passenger Side - Stored in array"
21,impact_point_rear,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Rear - Stored in array"
22,impact_point_roof,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Roof - Stored in array"
23,impact_point_undercarriage,Checkbox,impact_point,impact_point (TEXT[]),BOOLEAN,Conditional,NULL,Impact Points,No,✅ YES,"Impact point: Undercarriage - Stored in array"
24,damage_to_your_vehicle,Textarea,damage_description,damage_to_your_vehicle,TEXT,Conditional,NULL,Damage,No,✅ YES,"Detailed description of vehicle damage (required if damage exists)"
25,vehicle_driveable,Checkbox (Exclusive),vehicle_driveable,vehicle_driveable,TEXT,Conditional,NULL,Driveability,No,✅ YES,"Yes/No/Unsure - Was vehicle driveable after accident"
26,manual_make,Text Input (Fallback),manual-make,your_vehicle_make (Legacy),TEXT,Conditional,NULL,Manual Entry,No,✅ YES,"Manual entry fallback - Make (if DVLA fails)"
27,manual_model,Text Input (Fallback),manual-model,your_vehicle_model (Legacy),TEXT,Conditional,NULL,Manual Entry,No,✅ YES,"Manual entry fallback - Model (if DVLA fails)"
28,manual_colour,Text Input (Fallback),manual-colour,your_vehicle_color (Legacy),TEXT,Conditional,NULL,Manual Entry,No,✅ YES,"Manual entry fallback - Colour (if DVLA fails)"
29,manual_year,Number Input (Fallback),manual-year,your_vehicle_year (Legacy),INTEGER,Conditional,NULL,Manual Entry,No,✅ YES,"Manual entry fallback - Year (if DVLA fails)"
30,manual_fuel,Select Dropdown (Fallback),manual-fuel,N/A,TEXT,No,NULL,Manual Entry,No,❌ NO,"Manual entry fallback - Fuel Type (NOT mapped to separate column, stored in dvla_vehicle_data)"
