| trigger_schema | trigger_name                          | event_object_table           | action_statement                                           |
| -------------- | ------------------------------------- | ---------------------------- | ---------------------------------------------------------- |
| public         | update_ai_summary_updated_at          | ai_summary                   | EXECUTE FUNCTION update_updated_at_column()                |
| public         | update_ai_transcription_updated_at    | ai_transcription             | EXECUTE FUNCTION update_updated_at_column()                |
| public         | trigger_dash_cam_updated_at           | dash_cam_footage             | EXECUTE FUNCTION update_dash_cam_updated_at()              |
| public         | update_gdpr_consent_updated_at        | gdpr_consent_records_archive | EXECUTE FUNCTION update_updated_at_column()                |
| public         | update_incident_evidence_updated_at   | incident_evidence            | EXECUTE FUNCTION update_updated_at_column()                |
| public         | update_incident_reports_updated_at    | incident_reports             | EXECUTE FUNCTION update_updated_at_column()                |
| public         | update_transcription_queue_updated_at | transcription_queue          | EXECUTE FUNCTION update_updated_at_column()                |
| public         | update_user_signup_updated_at         | user_signup                  | EXECUTE FUNCTION update_updated_at_column()                |
| realtime       | tr_check_filters                      | subscription                 | EXECUTE FUNCTION realtime.subscription_check_filters()     |
| realtime       | tr_check_filters                      | subscription                 | EXECUTE FUNCTION realtime.subscription_check_filters()     |
| storage        | enforce_bucket_name_length_trigger    | buckets                      | EXECUTE FUNCTION storage.enforce_bucket_name_length()      |
| storage        | enforce_bucket_name_length_trigger    | buckets                      | EXECUTE FUNCTION storage.enforce_bucket_name_length()      |
| storage        | objects_insert_create_prefix          | objects                      | EXECUTE FUNCTION storage.objects_insert_prefix_trigger()   |
| storage        | update_objects_updated_at             | objects                      | EXECUTE FUNCTION storage.update_updated_at_column()        |
| storage        | objects_update_create_prefix          | objects                      | EXECUTE FUNCTION storage.objects_update_prefix_trigger()   |
| storage        | objects_delete_delete_prefix          | objects                      | EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger() |
| storage        | prefixes_create_hierarchy             | prefixes                     | EXECUTE FUNCTION storage.prefixes_insert_trigger()         |
| storage        | prefixes_delete_hierarchy             | prefixes                     | EXECUTE FUNCTION storage.delete_prefix_hierarchy_trigger() |
