Page,Field Name PDF,Field Name Supabase,Field Type
1,name,name,String
1,surname,surname,String
1,email,email,String
1,mobile,mobile,Integer
1,street,street_address,String
1,town,town,String
1,street_address_optional,street_address_optional,String
1,postcode,postcode,String
1,country,country,String
1,driving_license_number,driving_license_number,String
1,license_plate,car_registration_number,String
1,vehicle_make,vehicle_make,String
1,vehicle_model,vehicle_model,String
1,vehicle_colour,vehicle_colour,String
1,vehicle_condition,vehicle_condition,String
1,recovery_company,recovery_company,String
1,recovery_breakdown_number,recovery_breakdown_number,String
1,recovery_breakdown_email,recovery_breakdown_email,String
1,create_user_id#1,create_user_id,String
1,i_agree_to_share_my_data,gdpr_consent,String
2,emergency_contact,emergency_contact,Integer
2,insurance_company,insurance_company,String
2,policy_number,policy_number,String
2,policy_holder,policy_holder,String
2,cover_type,cover_type,String
2,time_stamp,time_stamp,Date
3,driving_license_picture,driving_license_picture,String
3,vehicle_picture_front,vehicle_picture_front,String
3,vehicle_picture_driver_side,vehicle_picture_driver_side,String
3,vehicle_picture_passenger_side,vehicle_picture_passenger_side,String
3,vehicle_picture_passenger_side#1,vehicle_picture_passenger_side,String
3,vehicle_picture_back,vehicle_picture_back,String
3,create_user_id#13,create_user_id,String
4,submit_date,submit_date,Date
4,form_id,form_id,String
4,medical_how_are_you_feeling,medical_how_are_you_feeling,String
4,medical_attention_from_who,medical_attention_from_who,String
4,further_medical_attention,further_medical_attention,String
4,are_you_safe,are_you_safe,Boolean
4,medical_attention,medical_attention,Boolean
4,six_point_safety_check,six_point_safety_check,Boolean
4,call_emergency_contact,call_emergency_contact,Boolean
4,medical_chest_pain,medical_chest_pain,Boolean
4,medical_breathlessness,medical_breathlessness,Boolean
4,medical_abdominal_bruising,medical_abdominal_bruising,Boolean
4,medical_uncontrolled_bleeding,medical_uncontrolled_bleeding,Boolean
4,medical_severe_headache,medical_severe_headache,Boolean
4,medical_change_in_vision,medical_change_in_vision,Boolean
4,medical_abdominal_pain,medical_abdominal_pain,Boolean
4,medical_limb_pain,medical_limb_pain,Boolean
4,medical_limb_weakness,medical_limb_weakness,Boolean
4,medical_loss_of_consciousness,medical_loss_of_consciousness,Boolean
4,medical_none_of_these,medical_none_of_these,Boolean
4,medical_please_be_completely_honest,medical_please_be_completely_honest,String
5,when_did_the_accident_happen,when_did_the_accident_happen,String
5,what_time_did_the_accident_happen,what_time_did_the_accident_happen,Integer
5,where_exactly_did_this_happen,where_exactly_did_this_happen,String
5,weather_conditions,weather_conditions,String
5,wearing_seatbelts,wearing_seatbelts,Boolean
