PDF Page,Database Table,Database Column,PDF Field Name,Field Type,Notes
# PAGE 1: Personal Information
1,user_signup,name,name,text,First name
1,user_signup,surname,surname,text,Last name
1,user_signup,email,email,text,Email address
1,user_signup,mobile,mobile,text,Mobile phone
1,user_signup,street_address,street,text,Street address
1,user_signup,street_address_optional,street_name_optional,text,Address label (Home/Work etc)
1,user_signup,town,town,text,Town/City
1,user_signup,postcode,postcode,text,Postcode
1,user_signup,country,country,text,Country
1,user_signup,driving_license_number,driving_license_number,text,Driving license number
1,user_signup,date_of_birth,date_of_birth,text,Date of birth
1,user_signup,car_registration_number,car_registration_number,text,Vehicle registration
1,user_signup,vehicle_make,vehicle_make,text,Vehicle make
1,user_signup,vehicle_model,vehicle_model,text,Vehicle model
1,user_signup,vehicle_colour,vehicle_colour,text,Vehicle colour
1,user_signup,vehicle_condition,vehicle_condition,text,Vehicle condition
1,user_signup,recovery_company,recovery_company,text,Recovery company name
1,user_signup,recovery_breakdown_number,recovery_breakdown_number,text,Breakdown number
1,user_signup,recovery_breakdown_email,recovery_breakdown_email,text,Breakdown email

# PAGE 2: Emergency Contact & Insurance
2,user_signup,emergency_contact,emergency_contact_name,text,Parsed from pipe-delimited format (Name|Phone|Email|Relationship)
2,user_signup,emergency_contact,emergency_contact_number,text,Parsed from pipe-delimited format
2,user_signup,insurance_company,insurance_company,text,Insurance company
2,user_signup,policy_number,policy_number,text,Policy number
2,user_signup,policy_holder,policy_holder,text,Policy holder name
2,user_signup,cover_type,cover_type,text,Type of cover
2,user_signup,subscription_start_date,Date69_af_date,text,Signup date (DD/MM/YYYY format)
2,user_signup,subscription_start_date,subscription_start_date,text,Signup date (was named time_stamp)

# PAGE 3: Personal Documentation (Images)
3,user_documents,driving_license_picture,driving_license_picture,text,URL - Auto-fit font size 6pt
3,user_documents,vehicle_front_image,vehicle_picture_front,text,URL - Auto-fit font size 6pt
3,user_documents,vehicle_driver_side_image,vehicle_picture_driver_side,text,URL - Auto-fit font size 6pt
3,user_documents,vehicle_passenger_side_image,vehicle_picture_passenger_side,text,URL - Auto-fit font size 6pt
3,user_documents,vehicle_back_image,vehicle_picture_back,text,URL - Auto-fit font size 6pt

# PAGE 4: Form Metadata & Safety Assessment
4,metadata,create_user_id,id,text,User UUID
4,incident_reports,final_feeling,final_feeling,checkbox,Safety check (derived from final_feeling text)
4,user_signup,safety_status_timestamp,emergency_recording_timestamp,text,Safety status timestamp
4,incident_reports,medical_attention_required,medical_attention_needed,checkbox,Boolean or legacy TEXT Yes
4,incident_reports,final_feeling,medical_how_are_you_feeling,text,How user is feeling
4,incident_reports,medical_attention_from_who,medical_attention_from_who,text,Medical attention provider
4,incident_reports,medical_further_attention,further_medical_attention_needed,text,Further medical attention
4,incident_reports,six_point_safety_check_completed,six_point_safety_check_completed,checkbox,Six point check completed
# REMOVED: form_id, submit_date, emergency_contact_made - PDF fields do not exist in template

# PAGE 4: Medical Symptoms (Checkboxes)
4,incident_reports,medical_symptom_chest_pain,medical_symptom_chest_pain,checkbox,Chest pain symptom
4,incident_reports,medical_symptom_uncontrolled_bleeding,medical_symptom_uncontrolled_bleeding,checkbox,Uncontrolled bleeding
4,incident_reports,medical_symptom_breathlessness,medical_symptom_breathlessness,checkbox,Breathlessness
4,incident_reports,medical_symptom_limb_weakness,medical_symptom_limb_weakness,checkbox,Limb weakness
4,incident_reports,medical_symptom_loss_of_consciousness,medical_symptom_loss_of_consciousness,checkbox,Loss of consciousness
4,incident_reports,medical_symptom_severe_headache,medical_symptom_severe_headache,checkbox,Severe headache
4,incident_reports,medical_symptom_abdominal_bruising,medical_symptom_abdominal_bruising,checkbox,Abdominal bruising
4,incident_reports,medical_symptom_change_in_vision,medical_symptom_change_in_vision,checkbox,Change in vision
4,incident_reports,medical_symptom_abdominal_pain,medical_symptom_abdominal_pain,checkbox,Abdominal pain
4,incident_reports,medical_symptom_limb_pain_mobility,medical_symptom_limb_pain_mobilty,checkbox,Limb pain/mobility - PDF has typo mobilty
4,incident_reports,medical_symptom_life_threatening,medical_symptom_life _threatening,checkbox,Life threatening - PDF has space before underscore
4,incident_reports,medical_symptom_dizziness,medical_symptom_dizziness,checkbox,Dizziness
