Index,Field Name,Field Type,Page,Current Value
83,"accident_date",Text,5,""
133,"accident_ref_number",Text,10,""
84,"accident_time",Text,5,""
168,"additional_hazards",Text,6,""
183,"additional_witnesses",Text,9,""
209,"ai_summary",Text,14,""
57,"airbags_deployed",CheckBox,10,"unchecked"
186,"airbags_deployed_no",CheckBox,10,"unchecked"
213,"analysis_metadata",Text,13,""
9,"car_registration_number",Text,1,""
211,"closing_statement",Text,15,""
7,"country",Text,1,""
17,"cover_type",Text,2,""
193,"damage_to_your_vehicle",Text,7,""
65,"date_of_birth",Text,1,""
58,"Date69_af_date",Text,17,""
130,"describe-damage-to-vehicle",Text,8,""
8,"driving_license_number",Text,1,""
21,"driving_license_picture",Text,3,""
48,"driving_your_usual_vehicle_no",CheckBox,7,"unchecked"
173,"dvla_colour",Text,7,""
175,"dvla_fuel_type",Text,7,""
171,"dvla_make",Text,7,""
172,"dvla_model",Text,7,""
177,"dvla_mot_expiry",Text,7,""
176,"dvla_mot_status",Text,7,""
179,"dvla_tax_due_date",Text,7,""
178,"dvla_tax_status",Text,7,""
174,"dvla_year",Text,7,""
1,"email",Text,1,""
142,"emergency_audio_transcription",Text,18,""
66,"emergency_contact_name",Text,2,""
67,"emergency_contact_number",Text,2,""
143,"emergency_recording_timestamp",Text,18,""
207,"final_feeling",CheckBox,4,"unchecked"
210,"final_review",Text,16,""
146,"further_medical_attention_needed",Text,4,""
62,"id",Text,1,""
107,"impact_point_driver_side",CheckBox,7,"unchecked"
102,"impact_point_front",CheckBox,7,"unchecked"
110,"impact_point_front_driver",CheckBox,7,"unchecked"
109,"impact_point_front_passenger",CheckBox,7,"unchecked"
106,"impact_point_passenger_side",CheckBox,7,"unchecked"
103,"impact_point_rear",CheckBox,7,"unchecked"
108,"impact_point_rear_driver",CheckBox,7,"unchecked"
105,"impact_point_rear_passenger",CheckBox,7,"unchecked"
104,"impact_point_roof",CheckBox,7,"unchecked"
187,"impact_point_under_carriage",CheckBox,7,"unchecked"
15,"insurance_company",Text,2,""
150,"junction_control",Text,6,""
149,"junction_type",Text,6,""
99,"location",Text,6,""
198,"location_map_screenshot",Text,11,""
81,"medical_ambulance_called",CheckBox,4,"unchecked"
26,"medical_attention_from_who",Text,4,""
147,"medical_attention_needed",CheckBox,4,"unchecked"
82,"medical_hospital_name",Text,4,""
25,"medical_how_are_you_feeling",Text,4,""
78,"medical_injury_details",Text,4,""
71,"medical_injury_severity",Text,4,""
72,"medical_symptom_abdominal_bruising",CheckBox,4,"unchecked"
75,"medical_symptom_abdominal_pain",CheckBox,4,"unchecked"
79,"medical_symptom_breathlessness",CheckBox,4,"unchecked"
190,"medical_symptom_change_in_vision",CheckBox,4,"unchecked"
73,"medical_symptom_chest_pain",CheckBox,4,"unchecked"
68,"medical_symptom_dizziness",CheckBox,4,"unchecked"
69,"medical_symptom_life _threatening",CheckBox,4,"unchecked"
145,"medical_symptom_limb_pain_mobilty",CheckBox,4,"unchecked"
76,"medical_symptom_limb_weakness",CheckBox,4,"unchecked"
77,"medical_symptom_loss_of_consciousness",CheckBox,4,"unchecked"
80,"medical_symptom_none",CheckBox,4,"unchecked"
74,"medical_symptom_severe_headache",CheckBox,4,"unchecked"
70,"medical_symptom_uncontrolled_bleeding",CheckBox,4,"unchecked"
144,"medical_treatment_recieved",Text,4,""
2,"mobile",Text,1,""
60,"name",Text,1,""
47,"nearest_landmark",Text,6,""
101,"no_damage",CheckBox,7,"unchecked"
49,"no_it_needed_to_be_towed",CheckBox,7,"unchecked"
180,"no-visible-damage",CheckBox,8,"unchecked"
136,"officer_badge",Text,10,""
134,"officer_name",Text,10,""
206,"open",Text,11,""
56,"other_breath_test",Text,10,""
52,"other_driver_vehicle_marked_for_export",Text,8,""
202,"other_vehicle_photo_1_url",Text,12,""
203,"other_vehicle_photo_2_url",Text,12,""
204,"other_vehicle_photo_3_url",Text,12,""
112,"other-contact-number",Text,8,""
124,"other-drivers-insurance-company",Text,8,""
128,"other-drivers-policy-cover-type",Text,8,""
127,"other-drivers-policy-holder-name",Text,8,""
126,"other-drivers-policy-number",Text,8,""
123,"other-driving-license-number",Text,8,""
113,"other-email-address",Text,8,""
111,"other-full-name",Text,8,""
117,"other-vehicle-look-up-colour",Text,8,""
118,"other-vehicle-look-up-fuel-type",Text,8,""
129,"other-vehicle-look-up-insurance-status",Text,8,""
