Field Name,Field Type,Status,Notes
"Date69_af_date",Text,MAPPED,
"Signature70",Signature,MAPPED,
"accident_date",Text,MAPPED,
"accident_ref_number",Text,MAPPED,
"accident_time",Text,MAPPED,
"additional_hazards",Text,MAPPED,
"additional_witnesses",Text,MAPPED,
"ai_summary",Text,MAPPED,
"airbags_deployed",CheckBox,MAPPED,
"airbags_deployed_no",CheckBox,MAPPED,
"analysis_metadata",Text,MAPPED,
"car_registration_number",Text,MAPPED,
"closing_statement",Text,MAPPED,
"country",Text,MAPPED,
"cover_type",Text,MAPPED,
"damage_to_your_vehicle",Text,MAPPED,
"date_of_birth",Text,MAPPED,
"describe-damage-to-vehicle",Text,MAPPED,
"driving_license_number",Text,MAPPED,
"driving_license_picture",Text,MAPPED,
"driving_your_usual_vehicle_no",CheckBox,MAPPED,
"dvla_colour",Text,MAPPED,
"dvla_fuel_type",Text,MAPPED,
"dvla_make",Text,MAPPED,
"dvla_model",Text,MAPPED,
"dvla_mot_expiry",Text,MAPPED,
"dvla_mot_status",Text,MAPPED,
"dvla_tax_due_date",Text,MAPPED,
"dvla_tax_status",Text,MAPPED,
"dvla_year",Text,MAPPED,
"email",Text,MAPPED,
"emergency_audio_transcription",Text,MAPPED,
"emergency_contact_name",Text,MAPPED,
"emergency_contact_number",Text,MAPPED,
"emergency_recording_timestamp",Text,MAPPED,
"final_feeling",CheckBox,MAPPED,
"final_review",Text,MAPPED,
"further_medical_attention_needed",Text,MAPPED,
"id",Text,MAPPED,
"impact_point_driver_side",CheckBox,MAPPED,
"impact_point_front",CheckBox,MAPPED,
"impact_point_front_driver",CheckBox,MAPPED,
"impact_point_front_passenger",CheckBox,MAPPED,
"impact_point_passenger_side",CheckBox,MAPPED,
"impact_point_rear",CheckBox,MAPPED,
"impact_point_rear_driver",CheckBox,MAPPED,
"impact_point_rear_passenger",CheckBox,MAPPED,
"impact_point_roof",CheckBox,MAPPED,
"impact_point_under_carriage",CheckBox,MAPPED,
"insurance_company",Text,MAPPED,
"junction_control",Text,MAPPED,
"junction_type",Text,MAPPED,
"location",Text,MAPPED,
"location_map_screenshot",Text,MAPPED,
"medical_ambulance_called",CheckBox,MAPPED,
"medical_attention_from_who",Text,MAPPED,
"medical_attention_needed",CheckBox,MAPPED,
"medical_hospital_name",Text,MAPPED,
"medical_how_are_you_feeling",Text,MAPPED,
"medical_injury_details",Text,MAPPED,
"medical_injury_severity",Text,MAPPED,
"medical_symptom_abdominal_bruising",CheckBox,MAPPED,
"medical_symptom_abdominal_pain",CheckBox,MAPPED,
"medical_symptom_breathlessness",CheckBox,MAPPED,
"medical_symptom_change_in_vision",CheckBox,MAPPED,
"medical_symptom_chest_pain",CheckBox,MAPPED,
"medical_symptom_dizziness",CheckBox,MAPPED,
"medical_symptom_life _threatening",CheckBox,MAPPED,
"medical_symptom_limb_pain_mobilty",CheckBox,MAPPED,
"medical_symptom_limb_weakness",CheckBox,MAPPED,
"medical_symptom_loss_of_consciousness",CheckBox,MAPPED,
"medical_symptom_none",CheckBox,MAPPED,
"medical_symptom_severe_headache",CheckBox,MAPPED,
"medical_symptom_uncontrolled_bleeding",CheckBox,MAPPED,
"medical_treatment_recieved",Text,MAPPED,
"mobile",Text,MAPPED,
"name",Text,MAPPED,
"nearest_landmark",Text,MAPPED,
"no-visible-damage",CheckBox,MAPPED,
"no_damage",CheckBox,MAPPED,
"no_it_needed_to_be_towed",CheckBox,MAPPED,
"officer_badge",Text,MAPPED,
"officer_name",Text,MAPPED,
"open",Text,MAPPED,
"other-contact-number",Text,MAPPED,
"other-drivers-insurance-company",Text,MAPPED,
"other-drivers-policy-cover-type",Text,MAPPED,
"other-drivers-policy-holder-name",Text,MAPPED,
"other-drivers-policy-number",Text,MAPPED,
"other-driving-license-number",Text,MAPPED,
"other-email-address",Text,MAPPED,
"other-full-name",Text,MAPPED,
"other-vehicle-look-up-colour",Text,MAPPED,
"other-vehicle-look-up-fuel-type",Text,MAPPED,
"other-vehicle-look-up-insurance-status",Text,MAPPED,
"other-vehicle-look-up-make",Text,MAPPED,
"other-vehicle-look-up-model",Text,MAPPED,
"other-vehicle-look-up-mot-expiry-date",Text,MAPPED,
"other-vehicle-look-up-mot-status",Text,MAPPED,
"other-vehicle-look-up-tax-due-date",Text,MAPPED,
"other-vehicle-look-up-tax-status",Text,MAPPED,
"other-vehicle-look-up-year",Text,MAPPED,
"other-vehicle-registration",Text,MAPPED,
"other_breath_test",Text,MAPPED,
"other_driver_vehicle_marked_for_export",Text,MAPPED,
"other_vehicle_photo_1_url",Text,MAPPED,
"other_vehicle_photo_2_url",Text,MAPPED,
"other_vehicle_photo_3_url",Text,MAPPED,
"police_attend",CheckBox,MAPPED,
"police_attended",CheckBox,MAPPED,
"police_force",Text,MAPPED,
"policy_holder",Text,MAPPED,
"policy_number",Text,MAPPED,
"postcode",Text,MAPPED,
"quality_review",Text,MAPPED,
"recovery_breakdown_email",Text,MAPPED,
"recovery_breakdown_number",Text,MAPPED,
"recovery_company",Text,MAPPED,
"road_condition_dry",CheckBox,MAPPED,
"road_condition_icy",CheckBox,MAPPED,
