Page One Liabilty (1),Page two Medical (19),Page Three date and time (34),Page 4 Loctaion (21),page 4a. (3),page 5. Vehicle details(28),Page 5 html.,page 5 proposed html. ,Page 6. Vehicle images (5),page 7. other drive and vehicle (20),,Page 8. Other vehicle images (5),Page 9. Witness(6),Page 10. Police (13),Page 11. Well Being Check ,Page 12 AI Transcription,Page 14. Declaration
Liabilty ,medical_attention Yes (check box),date of accident ,what3words address,location image upload 1,my usual vehicle Yes (check box),my_usual_vehicle,usual_vehicle_yes,vehicle images upload 1,other_full_name ,,Other vehicle images upload 1,Were there any Witnesses yes (check Box),Did police attend the scene yes (check box),How are you feeling well being check ,,
,medical_attention No (check box),time of accident ,full address or location ,location image upload 2,my usual vehicle No (check box),my_usual_vehicle,usual_vehicle_no,vehicle images upload 2,other_contact_number ,,Other vehicle images upload 2,Were there any Witnesses No(check Box),Did police attend the scene no (check box),Do Not add to PDF ,,
,details_of_any_injuries,weather bright sunlight ,nearest landmark,location image upload 3,Uk vehicle license plate,dvla_lookup_reg,dvla_other_lookup_reg,vehicle images upload 3,other_email_address,,Other vehicle images upload 3,Witness Full Name,Accident reference number,,,
,severity of injuries (drop down),weather clear and dry,what type of junction (drop down),,Vehicle Look up make ,vehicle_make,dvla_other_vehicle_lookup_make,vehicle images upload 4,other_driving _license_number,,Other vehicle images upload 4,Witness Phone Number ,Police force,,,
,ambulance yes (check box),weather cloudy,what controlled this junction (drop down),,Vehicle Look up  model,vehicle_model,dvla_other_vehicle_lookup_model,vehicle images upload 5,other_vehicle_registration ,,Other vehicle images upload 5,Witness email Address,Officers name ,,,
,ambulance No (check box),weather raining ,what color were the traffic lights (drop down),,Vehicle Look up colour,vehicle_colour,dvla_other_vehicle_lookup_color,,other_vehicle_look_up_make ,,,What Did they Witness,Offices badge number ,,,
,medical chest pain,weather heavy rain,what were you doing….(drop down),,Vehicle Look up year ,vehicle_year,dvla_other_vehicle_lookup_year,,other_vehicle_look_up_model ,,,,Your Breath test (drop down),,,
,medical uncontrolled bleeding ,weather drizzle,special road conditions roadworks or construction,,Vehicle Look up fuel type,vehicle_fuel,dvla_other_vehicle_lookup_fuel_type,,other_vehicle_look_up_colour,,,(Additional Witness's can be added),Other drivers Breath test (drop down),,,
,medical breathlessness,weather fog or poor visibilty ,special road conditions workman in road,,Vehicle Look up mot status,mot_status,dvla_other_vehicle_lookup_mot_status,,other_vehicle_look_up_year,,,,Where airbags deployed Yes (Check Box),,,
,medical limb weakness,weather snow,special road conditions cyclists in road,,Vehicle Look up mot expiry,mot_expiry,dvla_other_vehicle_lookup_mot_expiry,,other_vehicle_look_up_fuel_type,,,,Where airbags deployed No (Check Box),,,
,medical diziness ,weather ice,special road conditions pedestriansin road,,Vehicle Look up tax status,tax_status,dvla_other_vehicle_lookup_tax_status,,other_vehicle_look_up_mot_status,,,,Were you and all passengers wearing seatbelts Yes ,,,
,medical loss of conciousness,weather windy,special road conditions school zone ,,Vehicle Look up tax due date,tax_due,dvla_other_vehicle_lookup_tax_due_date,,other_vehicle_look_up_mot_expiry_date,,,,Were you and all passengers wearing seatbelts No ,,,
,medical severe head ache,weather hail,special road conditions narrow road,,Vehicle Look up insurance status,insurance_status,dvla_other_vehicle_lookup_insurance_status,,other_vehicle_look_up_tax_status,,,,Why seatbelts not worn ,,,
,medical change in vision ,weather thunder/lightening ,special road conditions poor road markings ,,my vehicle has no visible damage (check box),damage_to your_vehicle,damage_to your_vehicle,,other_vehicle_look_up_tax_due_date ,,,,,,,
,medical abdominal pain,road type motorway,special road conditions none of these apply ,,point of impact front,front,front,,other_vehicle_look_up_insurance_status,,,,,,,
,medical limb pain,road type A-road,Visibilty clear ,,point of impact front drover side,front_driver,front_driver,,other_drivers_insurance_company ,,,,,,,
,medical any other concerns,road type B-road,Visibilty restricted by hedge,,point of impact front passenger side,front_passenger,front_passenger,,other_drivers_policy_number ,,,,,,,
,medical none of these,road type Urban street,Visibilty clear restricted by by bend ,,point of impact driver side,driver_side,driver_side,,other_drivers_policy_holder_name,,,,,,,
,please provide details , rural road,Visibilty clear restricted by Large vehicle,,point of impact passenger side ,passenger_side,passenger_side,,other_drivers_policy_cover_type ,,,,,,,
,, road type car park,Visibilty clear sun glare,,point of impact rear driver side,rear_driver,rear_driver,,describe_damage_to_vehicle ,,,,,,,
,,other ,additional hazards or conditions ,,point of impact rear passenger side,rear_passenger,rear_passenger,,,,,,,,,
,,speed limit (drop down),,,point of impact rear roof,roof,roof,,EXAMPLE,,,,,,,
,,Your estimated speed,,,point of impact under carriage,undercarriage,undercarriage,,(Additional other vehicles can be added),,,,,,,
,,traffic conditions Heavy,,,point of impact rear,rear,rear,,other_1_full_name ,,,,,,,
,,traffic conditions moderate,,,describe damage to vehicle ,damage_to your_vehicle,damage_to your_vehicle,,,,,,,,,
,,traffic conditions light,,,vehicle driveable yes I drove it away ,vehicle_driveable,vehicle_driveable,,,,,,,,,
,,traffic conditions no traffic,,,vehicle driveable no it needed to be towed,vehicle_needed_to_be_towed,vehicle_needed_to_be_towed,,,,,,,,,
,,visibilty Good ,,,vehicle driveable unsure did not attempt ,unsure_did_not_attempt,unsure_did_not_attempt,,,,,,,,,
,,visibilty poor,,,,,,,,,,,,,,
,,visibilty very poor,,,,,,,,,,,,,,
,,visibilty Good severly restricted ,,,,,,,,,,,,,,
,,road markings yes,,,,,,,,,,,,,,
,,road markings no,,,,,,,,,,,,,,
,,road markings partial,,,,,,,,,,,,,,
